key,english
perkDeepCutsRank4LongDesc,"You are quite lethal with bladed weapons. Craft quality 5 great knives and deal 40% more damage. You can inflict up to 6 Bleeding Wounds on an enemy and a power attack inflicts 4. Glancing blows have a 70% chance to cause 1 Bleeding Wound.\n\nStamina: Use 16% less stamina with blades.\nUse 28% less stamina with power attacks."
perkDeepCutsRank5LongDesc,"You are a samurai and can make sushi out of your foes. Deal 50% more damage. You can inflict up to 7 Bleeding Wounds on an enemy and a power attack inflicts 5. All glancing blows cause 1 Bleeding Wound. Enemies run 20% slower while bleeding.\n\nStamina: Use 20% less stamina with blades.\nUse 35% less stamina with power attacks."
perkElectrocutionerRank1LongDesc,"Where are the instructions? You're smart, but remember to point it away from you and pull the trigger. Craft quality 2 poor stun batons, deal 10% more damage and stun victims 20% longer.\nUnlocks stun baton crafting.\n\nStamina: Use 4% less stamina with batons.\nUse 7% less stamina with power attacks."
perkElectrocutionerRank2LongDesc,"You are getting the hang of using stun batons to incapacitate your enemies. Craft quality 3 fair stun batons, deal 20% more damage, and stun victim 40% longer.\n\nStamina: Use 8% less stamina with batons.\nUse 14% less stamina with power attacks."
perkElectrocutionerRank3LongDesc,"You are getting dangerous with stun batons. You could probably knock out cattle if the zombies hadn't ate them all. Craft quality 4 good stun batons, deal 30% more damage, and stun victims 60% longer.\n\nStamina: Use 12% less stamina with batons.\nUse 21% less stamina with power attacks."
perkElectrocutionerRank4LongDesc,"You are lethal with stun batons. Craft quality 5 great stun batons, deal 40% more damage, and stun victims 80% longer.\n\nStamina: Use 16% less stamina with batons.\nUse 28% less stamina with power attacks."
perkElectrocutionerRank5LongDesc,"You are the last thing they see coming and an executioner with stun batons. Deal 50% more damage and stun victims 100% longer.\n\nStamina: Use 20% less stamina with batons.\nUse 35% less stamina with power attacks."
quest_BasicSurvival3_description,"Craft snowberry seeds to help you start a sustainable food source. Gather snowberries by attacking snowberry bushes. Once you have the ingredients, access the Inventory & craft a snowberry seed."
quest_BasicSurvival3_subtitle,Craft Snowberry Seeds
quest_BasicSurvival4_description,"To plant your snowberries, access the Inventory and select the snowberry seeds, then shift-click or drag them to your toolbelt. Once they're in your toolbelt, use the number keys or scroll wheel to "focus" them, then point at the ground and right-click/secondary action to plant them."
quest_BasicSurvival4_subtitle,Plant Snowberry Seeds
quest_WhiteRiverCitizen1,Radio Static 1/1
quest_WhiteRiverCitizen1_description,"Your almost dead radio has picked up some static.\n\nYou realise this must mean there are nearby settlements close by. You're unsure if this could be a good or bad thing. Knowing that you're not alone is giving you feelings of excitement but also fear, but you decide to take the risk..."
ttItemNeedsRepair,"This item is knackered and needs fixing"
ttRepairBeforePickup,"It's knackered and needs repairing before picking it up."
modMeleeSerratedBladeDesc,"100% chance to cause a Bleeding Wound on a regular attack."
BowRepairKit,Bow Repair Kit
ClubRepairKit,Club Repair Kit
HandgunRepairKit,Handgun Repair Kit
KnucklesRepairKit,Knuckles Repair Kit
MacheteRepairKit,Machete Repair Kit
MachinegunRepairKit,Machine Gun Repair Kit
MilitaryArmourRepairKit,Military Armour Repair Kit
MotorToolRepairKit,Motor Tool Repair Kit
RifleRepairKit,Rifle Repair Kit
RobotRepairKit,Robot Repair Kit
RocketLauncherRepairKit,Rocket Launcher Repair Kit
ShotgunRepairKit,Shotgun Repair Kit
SledgehammerRepairKit,Sledgehammer Repair Kit
SpearRepairKit,Spear Repair Kit
SteelArmourRepairKit,Steel Armour Repair Kit
SteelToolRepairKit,Steel Tool Repair Kit
StunBatonRepairKit,Stun Baton Repair Kit
